species,metric,N,mean,std,median,Q1,Q3,min,max,cv
CN,mean_R,70,117.64944146465496,22.799769958466033,115.02321023856396,101.84893132070621,127.85399841622956,79.34426479082617,181.0850814473321,0.1937941198413228
CN,mean_G,70,155.9832304660356,17.055299834194898,153.84287142876497,144.78930851552167,167.69649336518614,123.83195545824113,200.6023132533561,0.10934059887872746
CN,mean_B,70,14.359505199057475,7.774353274637352,12.637509864638439,8.581005150315352,17.003595073635104,6.423094347700521,58.02480734514821,0.541408159046291
CN,greenness_idx,70,0.5587985958464741,0.029892128582912098,0.5649099791437744,0.5420636020213938,0.5819254595819561,0.4622342788305081,0.6067941352695236,0.05349356423781127
CN,redness_idx,70,0.4006937477615721,0.017090258602078186,0.4004105081479073,0.3888282982224656,0.40895054143243403,0.371638002473147,0.4400254952338124,0.042651672748953234
CN,mean_L,70,59.439447838919506,6.66453840862718,58.86719512939453,55.18949890136719,63.47067928314209,46.97574234008789,76.9377212524414,0.11212315475554271
CN,mean_a,70,-30.813228034973143,2.7435679955701455,-31.259063720703125,-32.66556167602539,-28.95267677307129,-36.19337844848633,-24.18321990966797,-0.08903864250951521
CN,mean_b,70,58.2125477382115,4.597595022484121,57.869916915893555,54.91980457305908,61.21331405639648,49.73662567138672,70.36660766601562,0.07897945032675831
CN,std_L,70,10.847703865596227,2.0941326081984295,10.482645034790039,9.475717782974243,12.292836427688599,4.596158504486084,14.700956344604492,0.19304846759691008
CN,std_a,70,4.230334983553205,0.8977228206020299,4.163843631744385,3.417072296142578,4.737088680267334,3.0958011150360107,7.188360214233398,0.2122108116951063
CN,std_b,70,11.053813484736851,3.0348194156498587,9.925572395324709,8.908064126968384,13.185121297836305,7.063466548919678,18.660566329956055,0.27454954073907156
CN,glcm_contrast,70,1.3302706070977928,0.45271350712377817,1.2078249598741322,1.0650045571458002,1.5944299103143489,0.6400208818187012,2.7940103784520716,0.3403168533592185
CN,glcm_homogeneity,70,0.8478459084138589,0.04202104162020763,0.8488527975413848,0.8205086700055837,0.8698272770464874,0.7427581181599342,0.9578949175886344,0.04956212113922936
CN,glcm_energy,70,0.3593559016987989,0.10601743095808898,0.3316517083979461,0.2853044065757631,0.432079442349363,0.2105808073462218,0.6797102980760392,0.2950207035891386
CN,glcm_correlation,70,0.9877001127788313,0.005879862442098992,0.9891868781182572,0.9847391187594484,0.991344878358356,0.9707349574659928,0.9964476002959202,0.0059530847126830575
CN,area_px,70,1881647.5142857144,421287.3858691431,1980064.5,1669464.0,2189924.75,515170.0,2521384.0,0.2238928293799312
CN,aspect_ratio,70,0.8680369408057448,0.1688454915396898,0.8055874832529812,0.7525587186305703,0.8768298838970217,0.7503751875937968,1.4285714285714286,0.19451417745304828
CN,extent,70,0.6745597360716896,0.11689212354505184,0.7021865851173613,0.5962633679778485,0.7623558854539766,0.3270920634920635,0.8408817742204435,0.17328654127175624
CN,solidity,70,0.9310445838482997,0.06070959500015453,0.9545608734019704,0.8956263673157595,0.9732950764622876,0.7469295377669392,0.9938659596030854,0.06520589459768157
CN,compactness,70,0.52789722389352,0.1777110684560176,0.5264325326520156,0.3856133614435132,0.725979692154547,0.2284254292527134,0.8251409293502355,0.3366395207485747
SB,mean_R,70,74.17020064534199,24.157404215677175,65.53754575231493,55.51314652525256,88.3557685667303,47.653654373118904,129.73126186109477,0.32570229021207725
SB,mean_G,70,96.45514247296268,24.755186537859675,86.21110639734721,78.718237683003,108.74900335713741,69.32323725292973,155.77600727657577,0.2566497327480367
SB,mean_B,70,28.388023019232755,17.592908942253256,38.33485923066448,6.8852820778102375,43.55476789882535,3.054455521945799,48.15714237139014,0.6197299801516344
SB,greenness_idx,70,0.5026320059309708,0.06350667845854438,0.47431408582983914,0.4444223358521852,0.5800871699882303,0.431981539554648,0.6017126975463802,0.1263482581872554
SB,redness_idx,70,0.36846121332567544,0.02560373782043849,0.378470705526582,0.33839884073781434,0.38715973515312185,0.32838991423908,0.4096121367180753,0.0694882850472727
SB,mean_L,70,37.526617649623326,9.852540615957675,33.896141052246094,30.27861261367798,42.764089584350586,26.316669464111328,60.49816131591797,0.26254805876587095
SB,mean_a,70,-19.36747564588274,2.993995572739518,-19.72962474822998,-21.84732723236084,-16.044981956481934,-24.5535888671875,-14.39010524749756,-0.15458883891128064
SB,mean_b,70,33.382700892857144,9.693779381358594,33.452836990356445,23.092234134674072,40.99177932739258,18.988840103149418,51.937896728515625,0.2903833159716792
SB,std_L,70,8.95568095615932,1.7640122675485306,9.683564186096191,8.509071111679077,9.97524380683899,4.865962505340576,11.392813682556152,0.1969713164396864
SB,std_a,70,2.3306682450430736,0.3449319415037232,2.3964524269104004,2.160754442214966,2.5926952362060547,1.5907191038131714,2.8631839752197266,0.147997014262898
SB,std_b,70,6.808570180620466,0.9581055195234052,6.755364894866943,6.156372547149658,7.5026527643203735,4.993579387664795,8.856729507446289,0.14072051753986517
SB,glcm_contrast,70,4.013939753078902,0.9481492348924424,4.162622595403198,3.7518271925184217,4.55577579996751,1.966447958481155,6.542586670856476,0.23621411710655654
SB,glcm_homogeneity,70,0.7078387105601995,0.03424762689291311,0.7117197969881887,0.6981968812827648,0.7293471384832613,0.6186909130022294,0.7643728520280418,0.04838337658279351
SB,glcm_energy,70,0.3107080066350255,0.026489833883960624,0.3161818554218143,0.29678966903059656,0.3244311289512695,0.2328728686647354,0.3744625827565521,0.08525636069326344
SB,glcm_correlation,70,0.9047442495893101,0.04149009244753685,0.8986114609101656,0.8799846785471089,0.9250730411634774,0.7953661640113424,0.9821462800413706,0.045858365462251256
SB,area_px,70,843028.7,129964.29895483506,815346.5,751390.0,937702.75,622265.0,1265233.0,0.1541635521481476
SB,aspect_ratio,70,0.811320281226661,0.09420036627293131,0.8080642093651338,0.7593245967741935,0.829097216463499,0.6762699014404853,1.3207150368033649,0.1161074959577083
SB,extent,70,0.7358262932719548,0.033096118075780244,0.7338147147507907,0.7149569550638712,0.7559514523049855,0.6688444601859732,0.8356209657064534,0.04497816723647332
SB,solidity,70,0.9862895028875109,0.010136305498656711,0.9905708958536802,0.9818208390161259,0.9940916673711135,0.9560446910825668,0.9966627993237182,0.01027721117276535
SB,compactness,70,0.7935186255090181,0.03859508415050721,0.7946958759731143,0.7626385203021361,0.8241447577639391,0.7041322185246566,0.8563294110803249,0.0486379057904906
